home,home_lat,home_lon,other,o_lat,o_lon,reach,flights
EDDF,50.026706,8.55835,EFHK,60.318363,24.963341,Europe,10
EDDF,50.026706,8.55835,EGBB,52.453899,-1.74803,Europe,8
EDDF,50.026706,8.55835,EGCC,53.349375,-2.279521,Europe,6
EDDF,50.026706,8.55835,EGGW,51.874699,-0.368333,Europe,3
EDDF,50.026706,8.55835,EGKK,51.148744,-0.185739,Europe,6
EDDF,50.026706,8.55835,EGLC,51.505299,0.055278,Europe,4
EDDF,50.026706,8.55835,EGLL,51.470748,-0.459909,Europe,26
EDDF,50.026706,8.55835,EGPH,55.950145,-3.372288,Europe,6
EDDF,50.026706,8.55835,EGSS,51.884998,0.235,Europe,2
EDDF,50.026706,8.55835,EHAM,52.308601,4.76389,Europe,18
EDDF,50.026706,8.55835,EICK,51.841301,-8.49111,Europe,1
EDDF,50.026706,8.55835,EIDW,53.428713,-6.262121,Europe,11
EDDF,50.026706,8.55835,EKBI,55.740335,9.157019,Europe,8
EDDF,50.026706,8.55835,EKCH,55.617900848389,12.656000137329,Europe,14
EDDF,50.026706,8.55835,ELLX,49.626845,6.212134,Europe,10
EDDF,50.026706,8.55835,ENBR,60.2934,5.21814,Europe,4
EDDF,50.026706,8.55835,ENDU,69.055801,18.5404,Europe,1
EDDF,50.026706,8.55835,ENGM,60.193901,11.1004,Europe,10
EDDF,50.026706,8.55835,EPGD,54.377602,18.4662,Europe,5
EDDF,50.026706,8.55835,EPKK,50.077702,19.7848,Europe,10
EDDF,50.026706,8.55835,EPPO,52.421598,16.823359,Europe,7
EDDF,50.026706,8.55835,EPWA,52.165699,20.9671,Europe,14
EDDF,50.026706,8.55835,EPWR,51.103719,16.882096,Europe,6
EDDF,50.026706,8.55835,ESGG,57.6628,12.2798,Europe,6
EDDF,50.026706,8.55835,ESSA,59.64849,17.928829,Europe,10
EDDF,50.026706,8.55835,ESSL,58.404909,15.684499,Europe,1
EDDF,50.026706,8.55835,EVRA,56.920752,23.970711,Europe,4
EDDF,50.026706,8.55835,EYVI,54.634102,25.285801,Europe,6
EDDF,50.026706,8.55835,FACT,-33.97403,18.604333,Intercontinental,2
EDDF,50.026706,8.55835,FAGM,-26.2425,28.151199,Intercontinental,1
EDDF,50.026706,8.55835,FAOR,-26.140081,28.246801,Intercontinental,2
EDDF,50.026706,8.55835,FKYS,3.72256,11.5533,Intercontinental,1
EDDF,50.026706,8.55835,GMMN,33.3675,-7.58997,Intercontinental,1
EDDF,50.026706,8.55835,HEAZ,30.091702,31.359739,Intercontinental,2
EDDF,50.026706,8.55835,HECA,30.111534,31.396694,Intercontinental,1
EDDF,50.026706,8.55835,HKJK,-1.318886,36.928233,Intercontinental,2
EDDF,50.026706,8.55835,KATL,33.6367,-84.428101,Intercontinental,5
EDDF,50.026706,8.55835,KAUS,30.197535,-97.662015,Intercontinental,1
EDDF,50.026706,8.55835,KBOS,42.36197,-71.0079,Intercontinental,6
EDDF,50.026706,8.55835,KCLT,35.2140007019043,-80.94309997558594,Intercontinental,2
EDDF,50.026706,8.55835,KDEN,39.860027,-104.673792,Intercontinental,4
EDDF,50.026706,8.55835,KDFW,32.896801,-97.038002,Intercontinental,3
EDDF,50.026706,8.55835,KDTW,42.21377,-83.353786,Intercontinental,4
EDDF,50.026706,8.55835,KEWR,40.6894,-74.170545,Intercontinental,4
EDDF,50.026706,8.55835,KIAD,38.9445,-77.455803,Intercontinental,8
EDDF,50.026706,8.55835,KIAH,29.9844,-95.3414,Intercontinental,4
EDDF,50.026706,8.55835,KJFK,40.639447,-73.779317,Intercontinental,10
EDDF,50.026706,8.55835,KLAS,36.083361,-115.151817,Intercontinental,1
EDDF,50.026706,8.55835,KLAX,33.942501,-118.407997,Intercontinental,8
EDDF,50.026706,8.55835,KMCO,28.429399490356445,-81.30899810791016,Intercontinental,2
EDDF,50.026706,8.55835,KMEM,35.043845,-89.97634,Intercontinental,1
EDDF,50.026706,8.55835,KMIA,25.796011,-80.289751,Intercontinental,2
EDDF,50.026706,8.55835,KMSP,44.880081,-93.221741,Intercontinental,1
EDDF,50.026706,8.55835,KORD,41.9786,-87.9048,Intercontinental,8
EDDF,50.026706,8.55835,KPHL,39.871899,-75.241096,Intercontinental,2
