queried_airport,direction,icao24,callsign,dep_airport,arr_airport,firstSeen,lastSeen,home,other,ts,hour,al_icao,airline,lh_group,o_country,o_continent,reach,o_lat,o_lon,home_lat,home_lon,dist_km
EDDF,departure,30055b,DLH5CK,EDDF,EPPO,1787169750.0,1787173123,EDDF,EPPO,1787169750.0,22,DLH,Lufthansa,True,PL,EU,Europe,52.421598,16.823359,50.026706,8.55835,633.6937581037554
EDDF,departure,3c666c,DLH1326,EDDF,,1787169693.0,1787176575,EDDF,,1787169693.0,22,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,3c644a,DLH078,EDDF,EDDL,1787169615.0,1787171709,EDDF,EDDL,1787169615.0,22,DLH,Lufthansa,True,DE,EU,Domestic,51.289501,6.76678,50.026706,8.55835,188.8433278657816
EDDF,departure,502d27,BEL5PR,EDDF,EBMB,1787169565.0,1787171979,EDDF,EBMB,1787169565.0,21,BEL,Brussels Airlines,True,BE,EU,Europe,50.913419,4.491005,50.026706,8.55835,304.2292270193259
EDDF,departure,3c65c1,DLH4PH,EDDF,EGLL,1787169524.0,1787173697,EDDF,EGLL,1787169524.0,21,DLH,Lufthansa,True,GB,EU,Europe,51.470748,-0.459909,50.026706,8.55835,654.0165397367234
EDDF,departure,3c64ab,DLH1560,EDDF,,1787169433.0,1787181109,EDDF,,1787169433.0,21,DLH,Lufthansa,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,451d86,ASL75K,EDDF,LYBE,1787169342.0,1787174296,EDDF,LYBE,1787169342.0,21,ASL,Air Serbia,False,RS,EU,Europe,44.818401,20.309099,50.026706,8.55835,1054.9858217389628
EDDF,departure,3c65e4,DLH23C,EDDF,LPPT,1787169284.0,1787179325,EDDF,LPPT,1787169284.0,21,DLH,Lufthansa,True,PT,EU,Europe,38.7813,-9.13592,50.026706,8.55835,1872.7106698088141
EDDF,departure,44001b,AUA220A,EDDF,LOWW,1787169219.0,1787172944,EDDF,LOWW,1787169219.0,21,AUA,Austrian,True,AT,EU,Europe,48.110298,16.5697,50.026706,8.55835,620.9306611285796
EDDF,departure,3c6678,DLH8LP,EDDF,ENBR,1787169210.0,1787174805,EDDF,ENBR,1787169210.0,21,DLH,Lufthansa,True,NO,EU,Europe,60.2934,5.21814,50.026706,8.55835,1160.7779160377402
EDDF,departure,3006b5,DLH3YP,EDDF,LIML,1787169203.0,1787172870,EDDF,LIML,1787169203.0,21,DLH,Lufthansa,True,IT,EU,Europe,45.445099,9.27674,50.026706,8.55835,512.2693769170622
EDDF,departure,3c6550,LHX1090,EDDF,LFML,1787169150.0,1787174009,EDDF,LFML,1787169150.0,21,LHX,Other / unmatched,False,FR,EU,Europe,43.438088,5.2125,50.026706,8.55835,775.5217113531144
EDDF,departure,3c6551,LHX852,EDDF,EFHK,1787169048.0,1787175779,EDDF,EFHK,1787169048.0,21,LHX,Other / unmatched,False,FI,EU,Europe,60.318363,24.963341,50.026706,8.55835,1539.1314075144423
EDDF,departure,3c6670,DLH982,EDDF,EIDW,1787168978.0,1787175431,EDDF,EIDW,1787168978.0,21,DLH,Lufthansa,True,IE,EU,Europe,53.428713,-6.262121,50.026706,8.55835,1086.1211676842795
EDDF,departure,3c6635,DLH8HX,EDDF,LIRF,1787168970.0,1787173759,EDDF,LIRF,1787168970.0,21,DLH,Lufthansa,True,IT,EU,Europe,41.804532,12.251998,50.026706,8.55835,957.56108872809
EDDF,departure,3c6637,DLH1WL,EDDF,EDDH,1787168884.0,1787171501,EDDF,EDDH,1787168884.0,21,DLH,Lufthansa,True,DE,EU,Domestic,53.630402,9.98823,50.026706,8.55835,412.5616454312047
EDDF,departure,86da38,ANA224,EDDF,RJTT,1787168679.0,1787211610,EDDF,RJTT,1787168679.0,21,ANA,All Nippon Airways,False,JP,AS,Intercontinental,35.549678,139.786958,50.026706,8.55835,9362.506202768924
EDDF,departure,3c66a1,DLH958,EDDF,EGBB,1787168618.0,1787173282,EDDF,EGBB,1787168618.0,21,DLH,Lufthansa,True,GB,EU,Europe,52.453899,-1.74803,50.026706,8.55835,765.7189968549203
EDDF,departure,3c70cc,GEC8460,EDDF,,1787168558.0,1787207398,EDDF,,1787168558.0,21,GEC,Lufthansa Cargo,True,,,unknown,,,50.026706,8.55835,
EDDF,departure,8013c2,AIC2030,EDDF,VIDP,1787168535.0,1787202498,EDDF,VIDP,1787168535.0,21,AIC,Air India Limited,False,IN,AS,Intercontinental,28.55563,77.09519,50.026706,8.55835,6121.80807365195
EDDF,departure,502d79,SWR1LK,EDDF,LSZH,1787168430.0,1787170676,EDDF,LSZH,1787168430.0,21,SWR,Swiss,True,CH,EU,Europe,47.458056,8.548056,50.026706,8.55835,285.6218449218939
